n;MC1;MC2;MC3;MC4;Q lenght
e3q1c;Q83#4;3;2014/07/16 14:00;Question 1 but with more measurements
380;24.254256191247951;24.215893792544559;24.465075948136136;24.693154116693641;768
385;24.25926428341382;24.218897101449269;24.465466553945248;24.694190096618325;773
390;24.264855935999968;24.222678815999991;24.462865183999998;24.694469839999964;778
395;24.273715317460294;24.235827349206339;24.464391000000003;24.709312603174563;783
400;24.259947669291314;24.225286110236208;24.439050094488191;24.691416944881851;788
405;24.254183062499976;24.216118359374985;24.422594328125001;24.680839124999959;793
410;24.248427612403074;24.208427348837194;24.385126976744193;24.670345085271279;798
415;24.250175999999975;24.211780076923059;24.370208446153846;24.664156692307657;803
420;24.251804693251511;24.213251825153357;24.370122837423313;24.664020260736159;808
425;24.250221430745793;24.195329604261772;24.363496377473368;24.658679071537254;813
430;24.250336671709505;24.199047972768511;24.363671724659614;24.653354099848674;818
435;24.248673648648623;24.192474369369346;24.359087942942953;24.649946726726686;823
440;24.246733472429177;24.182131222056611;24.349296080476911;24.642072622950796;828
445;24.252685748148114;24.178761762962942;24.35065574814816;24.643341051851831;833
450;24.252893858615582;24.176411207658298;24.349113976435952;24.641709116347549;838
455;24.257246266471416;24.172716251830131;24.349363821376297;24.642272459736436;843
460;24.253657616279046;24.156552209302301;24.349656148255832;24.642451933139519;848
465;24.245574978354959;24.146129018758995;24.349261890331906;24.639176551226534;853
470;24.248501850789079;24.149937690100394;24.345779985652818;24.639743113342888;858
475;24.251974729344724;24.148007378917338;24.346092008547032;24.639937022792015;863
480;24.260895633001414;24.156616955903235;24.354222716927481;24.650619331436697;868
485;24.281105665722372;24.176296685552369;24.371518810198324;24.672833526912182;873
490;24.297334267605628;24.196725380281649;24.393265915492972;24.689695056338028;878
495;24.297620534458503;24.200118593530195;24.395424571026734;24.688873839662449;883
;;;;
